Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
C731,100n,CAP_0402,1.0000,5.2500,270.0,bottom
C732,100n,CAP_0402,-2.0000,-5.2500,90.0,bottom
C733,1u,CAP_0402,1.0000,-5.2500,90.0,bottom
C734,1u,CAP_0402,2.0000,-5.2500,90.0,bottom
C735,100n,CAP_0402,-5.2500,-2.5000,0.0,bottom
C736,100n,CAP_0402,-5.2500,1.0000,0.0,bottom
C737,100n,CAP_0402,-0.2500,5.2500,270.0,bottom
C738,100n,CAP_0402,5.2500,1.0000,180.0,bottom
C739,3p9,CAP_0402,5.7500,-4.2500,90.0000,top
C740,100n,CAP_0402,4.5000,-5.2500,90.0,bottom
C741,100n,CAP_0402,3.0000,-5.2500,90.0,bottom
C742,1p8,CAP_0402,5.2500,-2.7500,0.0000,top
C743,10u,CAP_0402,-1.0000,-7.2500,270.0,bottom
C744,100n,CAP_0402,-1.0000,-5.2500,90.0,bottom
C745,100n,CAP_0402,0.0000,-5.2500,90.0,bottom
C746,1u,CAP_0402,0.0000,-7.2500,270.0,bottom
C747,100n,CAP_0402,1.0000,-7.2500,270.0,bottom
C748,10p,CAP_0402,2.1000,-8.0000,0.0000,top
C749,100n,CAP_0402,5.2500,-1.5000,0.0000,top
C750,10p,CAP_0402,0.3500,-8.0000,180.0000,top
C751,100n,CAP_0402,1.0000,5.2500,90.0000,top
C752,100n,CAP_0402,-1.2500,-5.2500,-90.0000,top
C753,10n,CAP_0402,2.0000,-5.2500,-90.0000,top
C754,1u,CAP_0402,3.0000,-5.2500,-90.0000,top
C755,1u,CAP_0402,1.0000,11.7500,90.0000,top
C756,100n,CAP_0402,1.0000,9.7500,-90.0000,top
C757,100n,CAP_0402,-1.0000,-42.5000,-90.0000,top
C758,1u,CAP_0402,-1.2500,-13.2500,90.0000,top
C759,4n7,CAP_0402,5.2500,42.5000,-90.0000,top
C760,1u,CAP_0402,2.0000,39.5000,0.0000,top
C761,1u,CAP_0402,4.0000,39.5000,0.0000,top
C801,100n,CAP_0402,-1.0000,21.1125,180.0000,top
C901,100n,CAP_0402,-40.0050,49.4030,180.0000,top
C902,100n,CAP_0402,-40.0050,22.7330,180.0000,top
C903,100n,CAP_0402,-40.0050,-3.9370,180.0000,top
C904,100n,CAP_0402,-40.0050,-30.6070,180.0000,top
C905,100n,CAP_0402,-13.3350,49.4030,180.0000,top
C906,100n,CAP_0402,-13.3350,22.7330,180.0000,top
C907,100n,CAP_0402,-13.3350,-3.9370,180.0000,top
C908,100n,CAP_0402,-13.3350,-30.6070,180.0000,top
C909,100n,CAP_0402,13.3350,49.4030,180.0000,top
C910,100n,CAP_0402,13.3350,22.7330,180.0000,top
C911,100n,CAP_0402,13.3350,-3.9370,180.0000,top
C912,100n,CAP_0402,13.3350,-30.6070,180.0000,top
C913,100n,CAP_0402,40.0050,49.4030,180.0000,top
C914,100n,CAP_0402,40.0050,22.7330,180.0000,top
C915,100n,CAP_0402,40.0050,-3.9370,180.0000,top
C916,100n,CAP_0402,40.0050,-30.6070,180.0000,top
C1001,100n,CAP_0402,-31.3690,-10.4140,180.0000,top
C1002,100n,CAP_0402,-31.3690,-8.3820,180.0000,top
C1003,100n,CAP_0402,-31.3690,-6.3500,180.0000,top
C1004,100n,CAP_0402,31.3690,-5.3340,0.0000,top
C1005,100n,CAP_0402,31.3690,-7.3660,0.0000,top
C1006,100n,CAP_0402,31.3690,-9.3980,0.0000,top
C1007,100n,CAP_0402,-21.9710,10.4140,0.0000,top
C1008,100n,CAP_0402,-21.9710,8.3820,0.0000,top
C1009,100n,CAP_0402,-21.9710,6.3500,0.0000,top
C1010,100n,CAP_0402,-31.3690,-21.3360,180.0000,top
C1011,100n,CAP_0402,-31.3690,-19.2500,180.0000,top
